ItemNum,Description,ScheduleFee
45006,"Single stage large myocutaneous flap repair to one defect (pectoralis major, latissimus dorsi, or similar large muscle), other than a service associated with a service to which any of items 45524 to 45542 apply (H) (Anaes.) (Assist.)",1182.2
45018,"Dermis, dermofat or fascia graft (other than transfer of fat by injection): (a) if the service is not associated with neurosurgical services for spinal disorders mentioned in any of items 51011 to 51171; and (b) other than a service associated with a service to which item 39615, 39715, 40106 or 40109 applies (Anaes.) (Assist.)",539.65
45048,"LYMPHOEDEMATOUS tissue or lymphangiectasis, of lower leg and foot, or thigh, or upper arm, or forearm and hand, major excision of (Anaes.) (Assist.)",882.45
45060,"Developmental breast abnormality, single stage correction of, if: (a) the correction involves either: (i) bilateral mastopexy for symmetrical tubular breasts; or (ii) surgery on both breasts with a combination of insertion of one or more implants (which must have at least a 10% volume difference), mastopexy or reduction mammaplasty, if there is a difference in breast volume, as demonstrated by an appropriate volumetric measurement technique, of at least 20% in normally shaped breasts, or 10% in tubular breasts or in breasts with abnormally high inframammary folds; and (b) photographic and/or diagnostic imaging evidence demonstrating the clinical need for this service is documented in the patient notes Applicable only once per occasion on which the service is provided (Anaes.) (Assist.)",1448.3
45200,"Single stage local flap, if indicated to repair one defect, simple and small, excluding flap for male pattern baldness and excluding H-flap or double advancement flap not in association with any of items 31356 to 31383 (Anaes.)",323.95
45201,"Muscle, myocutaneous or skin flap, where clinically indicated to repair one surgical excision made in the removal of a malignant or non-malignant skin lesion (only in association with items 31000, 31001, 31002, 31003, 31004, 31005, 31358, 31359, 31360, 31363, 31364, 31369, 31370, 31371, 31373, 31376, 31378, 31380 or 31383)-may be claimed only once per defect (Anaes.)",471.55
45202,"Muscle, myocutaneous or skin flap, where clinically indicated to repair one surgical excision made in the removal of a malignant or non-malignant skin lesion in a patient, if the clinical relevance of the procedure is clearly annotated in the patient's record and either: (a) item 45201 applies and additional flap repair is required for the same defect; or (b) item 45201 does not apply and either: (i) the patient has severe pre-existing scarring, severe skin atrophy or sclerodermoid changes; or (ii) the repair is contiguous with a free margin (Anaes.)",471.55
45203,"Single stage local flap, if indicated to repair one defect, complicated or large, excluding flap for male pattern baldness and excluding H-flap or double advancement flap not in association with any of items 31356 to 31383 (Anaes.) (Assist.)",462.55
45206,"Single stage local flap if indicated to repair one defect, on eyelid, nose, lip, ear, neck, hand, thumb, finger or genitals and excluding H-flap or double advancement flap not in association with any of items 31356 to 31383 (Anaes.)",437
45239,"Direct, indirect, free or local flap, revision of, by incision and suture and/or liposuction, applicable once per flap, not being a service associated with a service to which item 45497 applies (Anaes.)",298.05
45451,"Full thickness skin graft to one defect, with an average diameter of 5 mm or more (Anaes.) (Assist.)",539.75
45496,"FLAP, free tissue transfer using microvascular techniques - revision of, by open operation (Anaes.)",474.05
45500,"Microvascular repair using microsurgical techniques, with restoration of continuity of artery or vein of distal extremity or digit; cannot be claimed by the same provider for both artery and vein (H) (Anaes.) (Assist.)",1242.1
45504,"Microvascular anastomosis of artery, vein or veins, using microsurgical techniques, for free transfer of tissue, including setting in of free flap, other than:(a) a service for the purpose of breast reconstruction; or(b) a service associated with a service to which item 45564, 45565, 45567, 46060, 46062, 46064, 46066, 46068, 46070 or 46072 applies(H) (Anaes.) (Assist.)",2021.75
45512,"SCAR, of face or neck, more than 3 cm in length, revision of, where undertaken in the operating theatre of a hospital, or where performed by a specialist in the practice of his or her specialty (Anaes.)",336.85
45515,"Scar, other than on face or neck, not more than 7 cm in length, revision of, if:(a) the service is:(i) undertaken in the operating theatre of a hospital; or(ii) performed by a specialist in the practice of the specialist’s specialty; and(b) the service is not performed in conjunction with the insertion of breast implants for cosmetic purposes; and(c) the incision made for revision of the scar is not used as an approach for another procedure (including a non rebatable procedure); and(d) sufficient photographic evidence demonstrating the clinical need for the service is included in patient notes (Anaes.)",212.5
45518,"Scar, other than on face or neck, more than 7 cm in length, revision of, if:(a) the service is:(i) undertaken in the operating theatre of a hospital; or(ii) performed by a specialist in the practice of the specialist’s specialty; and(b) the service is not performed in conjunction with the insertion of breast implants for cosmetic purposes; and(c) the incision made for revision of the scar is not used as an approach for another procedure (including a non rebatable procedure); and(d) sufficient photographic evidence demonstrating the clinical need for the service is included in patient notes (Anaes.)",257.15
45520,"Reduction mammaplasty (unilateral) with surgical repositioning of nipple,in the context of breast cancer or developmental abnormality of the breast, other than a service associated with a service to which item 31512, 31513 or 31514 applies on the same side (H) (Anaes.) (Assist.)",1025.8
45522,"Reduction mammaplasty (unilateral) without surgical repositioning of the nipple:(a) excluding the treatment of gynaecomastia; and(b) not with insertion of any prosthesis;other than a service associated with a service to which item 31512, 31513 or 31514 applies on the same side (H) (Anaes.) (Assist.)",719.7
45523,"Reduction mammaplasty (bilateral) with surgical repositioning of the nipple:(a) for patients with macromastia who are experiencing pain in the neck or shoulder region; and(b) not with insertion of any prosthesis;other than a service associated with a service to which item 31512, 31513 or 31514 applies (H) (Anaes.) (Assist.)",1538.8
45524,"Mammaplasty, augmentation (unilateral) in the context of: (a) breast cancer; or (b) developmental abnormality of the breast, if there is a difference in breast volume, as demonstrated by an appropriate volumetric measurement technique, of at least: (i) 20% in normally shaped breasts; or (ii) 10% in tubular breasts or in breasts with abnormally high inframammary folds. Applicable only once per occasion on which the service is provided, other than a service associated with a service to which item 45006 or 45012 applies (H) (Anaes.) (Assist.)",844.9
45530,"Post-mastectomy breast reconstruction, autologous (unilateral), using a large muscle or myocutaneous flap, isolated on its vascular pedicle, excluding repair of muscular aponeurotic layer, other than a service associated with a service to which item 30166, 30169, 30175, 30176, 30177, 30179, 45006 or 45012 applies (H) (Anaes.) (Assist.)",1252.45
45534,"Autologous fat grafting, unilateral service (harvesting, preparation and injection of adipocytes) if: (a) the autologous fat grafting is for one or more of the following purposes: (i) the correction of defects arising from treatment and prevention of breast cancer in patients with contour defects, greater than or equal to 20% volume asymmetry, post‑treatment pain or poor prosthetic coverage; (ii) the preparation of post mastectomy thin or irradiated skin flaps in patients intending to have breast reconstruction; (iii) breast reconstruction in breast cancer patients; (iv) the correction of developmental disorders of the breast; and (b) photographic and/or diagnostic imaging evidence demonstrating the clinical need for this service is documented in the patient notes Up to a total of 4 services per side (for total treatment of a single breast), other than a service associated with a service to which item 45006 or 45012 applies (H) (Anaes.)",719.7
45535,"Autologous fat grafting, bilateral service (harvesting, preparation and injection of adipocytes) if: (a) the autologous fat grafting is for one or more of the following purposes: (i) the correction of defects arising from treatment and prevention of breast cancer in patients with contour defects, greater than or equal to 20% volume asymmetry, post‑treatment pain or poor prosthetic coverage; (ii) the preparation of post mastectomy thin or irradiated skin flaps in patients intending to have breast reconstruction; (iii) breast reconstruction in breast cancer patients; (iv) the correction of developmental disorders of the breast; and (b) photographic and/or diagnostic imaging evidence demonstrating the clinical need for this service is documented in the patient notes Up to a total of 4 services, other than a service associated with a service to which item 45006 or 45012 applies (H) (Anaes.)",1259.55
45539,"Breast reconstruction (unilateral), following mastectomy, using tissue expansion—insertion of tissue expansion unit and all attendances for subsequent expansion injections, other than a service associated with a service to which item 45006 or 45012 applies (H) (Anaes.) (Assist.)",1642.8
